{ 1 JetEta 1 JetPt [0]+[1]*x Correction L2Relative} 
         -5       -4.5          5           4        1000            1            0            0
       -4.5       -4.2          5           4        1000      1.01496  -0.00313128            0
       -4.2       -3.9          5           4        1000     0.977931  -0.00071949            0
       -3.9       -3.6          5           4        1000     0.979479 -0.000425294            0
       -3.6       -3.3          5           4        1000     0.931816  0.000110638            0
       -3.3         -3          5           4        1000     0.933073  0.000576059            0
         -3       -2.7          5           4        1000     0.942496 -0.000255049            0
       -2.7       -2.4          5           4        1000     0.947133 -0.000171114            0
       -2.4       -2.1          5           4        1000     0.965243 -3.32294e-05            0
       -2.1       -1.8          5           4        1000     0.940601  0.000490945            0
       -1.8       -1.5          5           4        1000     0.950705  0.000380745            0
       -1.5       -1.3          5           4        1000      0.98285  0.000121018            0
       -1.3       -1.1          5           4        1000      1        0                      0
       -1.1       -0.9          5           4        1000      1        0                      0
       -0.9       -0.6          5           4        1000      1        0                      0
       -0.6       -0.3          5           4        1000      1        0                      0
       -0.3         -0          5           4        1000      1        0                      0
          0        0.3          5           4        1000      1        0                      0
        0.3        0.6          5           4        1000      1        0                      0
        0.6        0.9          5           4        1000      1        0                      0
        0.9        1.1          5           4        1000      1        0                      0
        1.1        1.3          5           4        1000      1        0                      0
        1.3        1.5          5           4        1000      0.98285  0.000121018            0
        1.5        1.8          5           4        1000     0.950705  0.000380745            0
        1.8        2.1          5           4        1000     0.940601  0.000490945            0
        2.1        2.4          5           4        1000     0.965243 -3.32294e-05            0
        2.4        2.7          5           4        1000     0.947133 -0.000171114            0
        2.7          3          5           4        1000     0.942496 -0.000255049            0
          3        3.3          5           4        1000     0.933073  0.000576059            0
        3.3        3.6          5           4        1000     0.931816  0.000110638            0
        3.6        3.9          5           4        1000     0.979479 -0.000425294            0
        3.9        4.2          5           4        1000     0.977931  -0.00071949            0
        4.2        4.5          5           4        1000      1.01496  -0.00313128            0
        4.5          5          5           4        1000            1            0            0
