{ 1 JetEta 1 JetPt [0]+[1]*x Correction L2Relative} 
         -5       -4.5          5           4        1000            1            0            0
       -4.5       -4.2          5           4        1000            1            0            0
       -4.2       -3.9          5           4        1000     0.962026 -0.000598582            0
       -3.9       -3.6          5           4        1000     0.726792   0.00391117            0
       -3.6       -3.3          5           4        1000     0.977903 -0.000986376            0
       -3.3         -3          5           4        1000     0.946225   0.00032229            0
         -3       -2.7          5           4        1000     0.904386  7.27723e-05            0
       -2.7       -2.4          5           4        1000     0.946062 -0.000218493            0
       -2.4       -2.1          5           4        1000     0.945728  0.000100912            0
       -2.1       -1.8          5           4        1000     0.940047  0.000447052            0
       -1.8       -1.5          5           4        1000     0.939408  0.000507763            0
       -1.5       -1.3          5           4        1000     0.984139  0.000417667            0
       -1.3       -1.1          5           4        1000      0.97103   0.00040216            0
       -1.1       -0.9          5           4        1000      1.00219 -3.44749e-05            0
       -0.9       -0.6          5           4        1000     0.974529  0.000185662            0
       -0.6       -0.3          5           4        1000     0.984462  0.000185082            0
       -0.3         -0          5           4        1000     0.982412  0.000112462            0
          0        0.3          5           4        1000     0.982412  0.000112462            0
        0.3        0.6          5           4        1000     0.984462  0.000185082            0
        0.6        0.9          5           4        1000     0.974529  0.000185662            0
        0.9        1.1          5           4        1000      1.00219 -3.44749e-05            0
        1.1        1.3          5           4        1000      0.97103   0.00040216            0
        1.3        1.5          5           4        1000     0.984139  0.000417667            0
        1.5        1.8          5           4        1000     0.939408  0.000507763            0
        1.8        2.1          5           4        1000     0.940047  0.000447052            0
        2.1        2.4          5           4        1000     0.945728  0.000100912            0
        2.4        2.7          5           4        1000     0.946062 -0.000218493            0
        2.7          3          5           4        1000     0.904386  7.27723e-05            0
          3        3.3          5           4        1000     0.946225   0.00032229            0
        3.3        3.6          5           4        1000     0.977903 -0.000986376            0
        3.6        3.9          5           4        1000     0.726792   0.00391117            0
        3.9        4.2          5           4        1000     0.962026 -0.000598582            0
        4.2        4.5          5           4        1000            1            0            0
        4.5          5          5           4        1000            1            0            0
