{ 1 JetEta 1 JetPt [0]+[1]*x Correction L2Relative} 
         -5       -4.5          5           4        1000            1            0            0
       -4.5       -4.2          5           4        1000            1            0            0
       -4.2       -3.9          5           4        1000     0.899911   0.00117974            0
       -3.9       -3.6          5           4        1000      1.14252  -0.00278408            0
       -3.6       -3.3          5           4        1000     0.989411 -0.000548012            0
       -3.3         -3          5           4        1000      1.07087  -0.00116026            0
         -3       -2.7          5           4        1000     0.920332  7.65539e-05            0
       -2.7       -2.4          5           4        1000     0.970121 -0.000445373            0
       -2.4       -2.1          5           4        1000      0.98054 -9.66946e-05            0
       -2.1       -1.8          5           4        1000     0.961179  0.000367651            0
       -1.8       -1.5          5           4        1000     0.949632  0.000517088            0
       -1.5       -1.3          5           4        1000      1.01683  0.000125718            0
       -1.3       -1.1          5           4        1000     0.979988  0.000182101            0
       -1.1       -0.9          5           4        1000      1.01383 -0.000161372            0
       -0.9       -0.6          5           4        1000      1.02236 -0.000307931            0
       -0.6       -0.3          5           4        1000     0.976581  0.000241504            0
       -0.3         -0          5           4        1000      1.00614 -0.000132237            0
          0        0.3          5           4        1000      1.00614 -0.000132237            0
        0.3        0.6          5           4        1000     0.976581  0.000241504            0
        0.6        0.9          5           4        1000      1.02236 -0.000307931            0
        0.9        1.1          5           4        1000      1.01383 -0.000161372            0
        1.1        1.3          5           4        1000     0.979988  0.000182101            0
        1.3        1.5          5           4        1000      1.01683  0.000125718            0
        1.5        1.8          5           4        1000     0.949632  0.000517088            0
        1.8        2.1          5           4        1000     0.961179  0.000367651            0
        2.1        2.4          5           4        1000      0.98054 -9.66946e-05            0
        2.4        2.7          5           4        1000     0.970121 -0.000445373            0
        2.7          3          5           4        1000     0.920332  7.65539e-05            0
          3        3.3          5           4        1000      1.07087  -0.00116026            0
        3.3        3.6          5           4        1000     0.989411 -0.000548012            0
        3.6        3.9          5           4        1000      1.14252  -0.00278408            0
        3.9        4.2          5           4        1000     0.899911   0.00117974            0
        4.2        4.5          5           4        1000            1            0            0
        4.5          5          5           4        1000            1            0            0
